type,sender,to,approveAmount,transferAmount,transferFromAmount,oldApproveState,newApproveState,oldBalanceState,newBalanceState,success
transfer,0xc5941c1c33b875669c4a4827685538aa1f6ee038,0x4e418a8b2e5df60b83525e92891d1293d0b1b6d6,0,380000000.0,0,7950000000.0,7950000000.0,12570000000.0,12190000000.0,True
transfer,0xfaaeff918b3294b3cffc75a8bdb1ae5c789f301e,0xa386d0c12de472d0be1c3cbe70856fc5d62953d0,0,1200000000.0,0,8180000000.0,8180000000.0,14470000000.0,13270000000.0,True
approve,0x44ebfa2cc68b81c068f85b4d2170d8943214ea8b,0xdd72c15c45f2c5e87e8249872248c10d9953490e,5070000000.0,0,0,6230000000.0,11300000000.0,14730000000.0,14730000000.0,True
transfer,0xe1e6841461c7765b26994785257e3191dda87341,0x8ae24c0323ff3d8de1a369334587330b33c68e1f,0,5700000000.0,0,6160000000.0,6160000000.0,6900000000.0,1200000000.0,True
transferFrom,0xd4adda7dd062ae3589277a1641b0fb97b2e869d2,0x1e30ac5b447d31fa34e928b4d1bfe8f2a36ea2c4,0,0,3190000000.0,5460000000.0,2270000000.0,8300000000.0,5110000000.0,True
transferFrom,0x05540becf2dad39b05e03e0978a7f798fb1ffb90,0xda9dff79bb72cadfea05d88be5286a9b2d88d377,0,0,1620000000.0,9370000000.0,7750000000.0,6280000000.0,4660000000.0,True
transferFrom,0x546198ef982874b052281a988a3d4bf9185e2bd3,0x2bea8adc6b04e407e1c0d94d0160e595546e94b7,0,0,2890000000.0,5030000000.0,2140000000.0,10440000000.0,7550000000.0,True
transfer,0xf057a9d500d29bb3f106f7821a44de2e9953258b,0x90318a2a024f1d349ede7d0300d7a9037fabda8f,0,2210000000.0,0,8640000000.0,8640000000.0,14150000000.0,11940000000.0,True
approve,0xb04f4a4447df0f36312e6aaeb3736d2a8d336b1f,0x94f4bffc68a2a148319a4ea6e49014b3124aee82,9080000000.0,0,0,7490000000.0,16570000000.0,5760000000.0,5760000000.0,True
transfer,0x998cc3cf383b1dacb2244496deaa29267d3d6e9d,0xfd8e968b656e396f73b5f345fcb51d7f4fc09456,0,8970000000.0,0,5900000000.0,5900000000.0,10660000000.0,1690000000.0,True
transfer,0xd5e170a6bdf186faedf3b3963829eb7a46ea1523,0x9bad2c2c731b17a5fc4c280456fe27db354c9b74,0,9430000000.0,0,6950000000.0,6950000000.0,11730000000.0,2300000000.0,True
transfer,0xaf6b8a6cf92c89cf6f58436cbe5735487eb6050b,0xc6c941f8f70151122e28b20108effe17d72d8afd,0,8230000000.0,0,5520000000.0,5520000000.0,5760000000.0,5760000000.0,True
approve,0xce5b3c99af32bf278352d858fb451108a18c6bc0,0x1162663b5c91d14448f453b40e352455a3651d25,9130000000.0,0,0,5620000000.0,14750000000.0,12700000000.0,12700000000.0,True
approve,0x6e1cdd285bb7ceb89092b6aae967109b636c91c2,0x086210d79b710ed794738a43e6c75edfa326ee45,50000000.0,0,0,5410000000.0,5460000000.0,8960000000.0,8960000000.0,True
transfer,0x23cb5b9c6bcd49d9d0f7c52d8c010807de704c40,0x96e4803d510df9b6272cf80bad34a62ea3e1e580,0,8670000000.0,0,9270000000.0,9270000000.0,6670000000.0,6670000000.0,True
transfer,0xb047804bd8bf4843cc4d2653b5188f7d045ef1ab,0x8a569b20bed54741c47de5786e7ecfc1fdf0dc2c,0,8630000000.0,0,8300000000.0,8300000000.0,7300000000.0,7300000000.0,True
approve,0x2d8f3b8a3da9679cc5ec90de486f825a31190dcf,0x1bb8eb8da501e1e6aa57bc765fe1dc6d3ae47d2f,5670000000.0,0,0,6800000000.0,12470000000.0,6370000000.0,6370000000.0,True
approve,0xd77b4a96b6da292216768c1c3e83bb456866e71a,0xd892ec47402c7e2a6be5757a4d81bf9a92018ecf,1960000000.0,0,0,9470000000.0,11430000000.0,11750000000.0,11750000000.0,True
transferFrom,0xf8126baf9bdc2631982cffa301a2e06e951bbe19,0x17270c3785d6963d5b124e7518cfaaad8d3df225,0,0,2780000000.0,6570000000.0,3790000000.0,9330000000.0,6550000000.0,True
transfer,0x387403bd892acf80e2865d3528346450d20f7ae5,0x934bf743d603abc9a84ac35ce9acef91d884edc2,0,140000000.0,0,5960000000.0,5960000000.0,8360000000.0,8220000000.0,True
transfer,0x6e1bf44306329da005a387edc7080be8d7dc007c,0xd532b62791acc6a21b002e0e687a9b1ef81ed41c,0,3060000000.0,0,6640000000.0,6640000000.0,6920000000.0,3860000000.0,True
approve,0x6001bb9c46a6da164f08cb9324c1267212e185ca,0x5e3df46f477bb17c6c71604891b818b54b45e501,1090000000.0,0,0,9660000000.0,10750000000.0,11540000000.0,11540000000.0,True
transferFrom,0x0fbe17f117fade7bb2417aa21fa3bc2fb125c0eb,0x8deefe763fe9a7199aa6bf4b3e227d643a24666f,0,0,8730000000.0,8730000000.0,8730000000.0,7160000000.0,7160000000.0,False
approve,0xb2af04fe374200992eedb5f587c29c9d24fa7f18,0x0537a9b08e9e48b8953e8ab1508e3fba807f0429,4070000000.0,0,0,6940000000.0,11010000000.0,7080000000.0,7080000000.0,True
approve,0xdb2922d5411a1e8ce2104a6d8817263e54dc605f,0x17676c01d609a8e726e5acb6bc9c4c8d009c5101,8900000000.0,0,0,8530000000.0,17430000000.0,12830000000.0,12830000000.0,True
transfer,0x88636ed8d5d5ff94c6c44da2d2ecc212e6abf78b,0xc965abb859a4b844f58211ba3d041901ed27c66c,0,6710000000.0,0,8680000000.0,8680000000.0,14430000000.0,7720000000.0,True
transferFrom,0x2e4af9e1031a82ed5823f130231b5314eee88f7d,0xe66c6718b0e803ec226e55593579829c01a453e3,0,0,180000000.0,6670000000.0,6490000000.0,10520000000.0,10340000000.0,True
approve,0xce4bce5c8e3d2d4442a2d8a414f4077ff7096af3,0xb52cab89d9ae7cebb2c7f86ea00a50ae90773e3d,7840000000.0,0,0,5990000000.0,13830000000.0,14580000000.0,14580000000.0,True
transferFrom,0x3612a3fe6746816a4007185900ea1b5800ee7028,0x33b029ab1db6300f1ad18e64dec070a6f78ed90d,0,0,4730000000.0,8740000000.0,4010000000.0,7110000000.0,2380000000.0,True
transferFrom,0x765508e580d9d4af6e1dcaf0bffc7b8c0064ad94,0xbd7fbb3bf88dc036023ead3d6c9911368e2077d5,0,0,2470000000.0,5780000000.0,3310000000.0,10840000000.0,8370000000.0,True
transferFrom,0x46034567eafeb4821aa3544364caf37d4b2466d9,0x34beb2ad2e0e58783f0cebdf99c2f1a9bbc9bb61,0,0,5230000000.0,7760000000.0,2530000000.0,10560000000.0,5330000000.0,True
approve,0xe58985e09dc6d5ceb6d2d63bd57c7c29ef2c8b32,0x34c08edf2ea679cb131cb570f03f6d70bba63b0d,9830000000.0,0,0,9280000000.0,19110000000.0,6940000000.0,6940000000.0,True
transferFrom,0x1a27c938a7be6464cf47a55f2a7dd1f76f4828d1,0x932a54561e4133a17be719953b0b166df8f2c3b1,0,0,3600000000.0,9690000000.0,6090000000.0,11120000000.0,7520000000.0,True
approve,0x726d3c98efb3128cd2c1fcb04cb3f35b22aca82b,0x3929d9395f34ab25a94dae3ed91d4ff79a103d25,4860000000.0,0,0,5550000000.0,10410000000.0,8890000000.0,8890000000.0,True
transfer,0x7fdd0f3c1b2d94d0b9f16f3e07294dc5e32ece64,0xa954abcc68b2dd196d0231c9ebd341d7f386f63a,0,3320000000.0,0,5980000000.0,5980000000.0,13810000000.0,10490000000.0,True
approve,0x68732fb3d3772cfe4f650659265696d2a3c052a2,0x9be1b6cc08f285642296af3ab211b551c04e033c,4420000000.0,0,0,9650000000.0,14070000000.0,8150000000.0,8150000000.0,True
transferFrom,0xd87a5fa591a37b7da13278ead814b9c0ad8d3d8b,0x5bca9b5394c82cd113091bf7ef286b7aa318a354,0,0,2080000000.0,7180000000.0,5100000000.0,10210000000.0,8130000000.0,True
transferFrom,0x21b27b339d7cfcf77ba807a5a9249502bcaeb244,0xff9f42049eb50b243f2cf21043009a129fada67f,0,0,3670000000.0,5330000000.0,1660000000.0,13820000000.0,10150000000.0,True
transferFrom,0x863337ab8afa6ffd11617fd4a6fb9684fa741106,0x89175159216d0ad04c96d6c37c45fcb48aaf07b5,0,0,8150000000.0,7640000000.0,7640000000.0,6780000000.0,6780000000.0,False
approve,0xcd7f9f79128abaeea1e9acdfbd46226faa0ac7a9,0x05b8561ea16c957f27f46c312a3be58db25be8aa,9490000000.0,0,0,5140000000.0,14630000000.0,10270000000.0,10270000000.0,True
approve,0x1ef3084648c081ee9157115eacd804410ba3029c,0x80557e5e5adcd37f025d653d7bd00a2b3a26a1b0,4170000000.0,0,0,8490000000.0,12660000000.0,11440000000.0,11440000000.0,True
approve,0xd28d2b97b6080c72b293f15735f4baeae4b0786a,0x558fb9883b4265fcb6291218efaa29ba34b23fa5,5650000000.0,0,0,5540000000.0,11190000000.0,6000000000.0,6000000000.0,True
transferFrom,0x8e76d2026de4d436cfbb904ff99eac8de9b3c802,0xc37a3c5c02115d5c219222112cc77c531859621f,0,0,4220000000.0,8250000000.0,4030000000.0,9040000000.0,4820000000.0,True
approve,0xb4031154cff95ffd0cb66f8e1699d0d3c9fb95d5,0xcce7ab0244f8db66f1c74ce363e48f5bbba437dd,3860000000.0,0,0,8980000000.0,12840000000.0,5600000000.0,5600000000.0,True
transfer,0x836d9a483c65a898c4c4277882396745d0440836,0xa3ea577d4f5b58f174e7ca94406432def06c94ec,0,5010000000.0,0,7130000000.0,7130000000.0,5880000000.0,870000000.0,True
transferFrom,0xe0815bfcef915b98e403f882263e974f9db9967b,0x7867b0c94f43b740806754bf043b176259ac391c,0,0,3580000000.0,3580000000.0,0.0,8370000000.0,4790000000.0,True
transfer,0x5f190078a92d215c0d6ced14de97e8122cc574b1,0xa859b8661e92b0dfb74d62f676a8f23a6fbb2651,0,260000000.0,0,8760000000.0,8760000000.0,11330000000.0,11070000000.0,True
transfer,0x323e61262075405af6813e72b1b13ff4685771e8,0x7d456d623f9474430f77f1a1392d16fd629f5cde,0,5580000000.0,0,6820000000.0,6820000000.0,5080000000.0,5080000000.0,True
transferFrom,0xad71efa78f2142dfdb5afa9b5bdf8a644fbf9996,0x9b69a1ac9800985798a578865a5a88cace445d0e,0,0,9500000000.0,6650000000.0,6650000000.0,12230000000.0,12230000000.0,False
transfer,0x737846f35a251c62df131717181d407858eb4d95,0xd1e94f289e535fe63a9c1d620e4041bacd04c48b,0,2180000000.0,0,9810000000.0,9810000000.0,13890000000.0,11710000000.0,True
approve,0xf9d345bd7fc191e04778dcdcdf7c54aef436c714,0x9dd7a809d2dd373af6f9b0faaf132b4de968bf87,1350000000.0,0,0,6990000000.0,8340000000.0,12070000000.0,12070000000.0,True
approve,0x4c8d742447a0c3478b61acbe608b65f5c3e720ae,0x9e103372d143df02246cf15ac175b691f182b0e3,6880000000.0,0,0,9860000000.0,16740000000.0,10930000000.0,10930000000.0,True
approve,0x9eaa56ceb087233036f6310d64ef8b5e8660c6e6,0x5b2237b89a0fc314a38217081b84a5f1ddc3b165,2790000000.0,0,0,6180000000.0,8970000000.0,9280000000.0,9280000000.0,True
transfer,0x63812ac133fceb5461b2a28f5ee21b6ff137fd48,0xa4c63fb1b8fba6bba3cd18c03522864b4d8a604d,0,2220000000.0,0,8680000000.0,8680000000.0,9110000000.0,6890000000.0,True
transfer,0x4e8866d7c93191200f16defc50d84541914d5181,0xf2eaf4673a851399dd98ef36e4a497205065536e,0,2420000000.0,0,5940000000.0,5940000000.0,9730000000.0,7310000000.0,True
approve,0x0631f2e27cc3a0e90dec8f509183bd4c459d0dd1,0x3441b5d39b0b67f6ecec202a53046379364f63c9,8670000000.0,0,0,8080000000.0,16750000000.0,12970000000.0,12970000000.0,True
approve,0x99bcafe1e336a1a4f4ab88c0355d917bdb1bd179,0xc88655f99ddf43236ffd64148312f05d4f58b42c,440000000.0,0,0,8280000000.0,8720000000.0,13040000000.0,13040000000.0,True
transfer,0x3676c00a18c54e0fed5db4cb9669a6dc33a1b121,0xb9abd9a39f7c829de70476d924f31d0608ef7135,0,6440000000.0,0,6190000000.0,6190000000.0,13610000000.0,7170000000.0,True
transfer,0x25f37773ec88eb90c38dc35d6281b08f7613e6e5,0xec054373b4322f44bb70b6d90d4d64ec1cd5b087,0,5290000000.0,0,6860000000.0,6860000000.0,10860000000.0,5570000000.0,True
transferFrom,0xc0144145d8e22c0d96dd598ec3ba0aaadd86a616,0x714d42d71120cc7c2eee4c2ef936eec5ef1bc35e,0,0,2060000000.0,7600000000.0,5540000000.0,13630000000.0,11570000000.0,True
transfer,0x311aa32f3bdb03a9c161b87dde2b9660c0bac3c2,0x76196b01a508a30f0f617b5604b35097920f4abd,0,2600000000.0,0,7800000000.0,7800000000.0,7710000000.0,5110000000.0,True
transfer,0xb610535f612a4cfbc1585527b086aa7427da83ae,0x73b02be2aac6048eadd63ad807e3c6dcc96c9e13,0,7810000000.0,0,6900000000.0,6900000000.0,7740000000.0,7740000000.0,True
approve,0xc08a1e4d6a8adf78fe854244deac154e9df37054,0x80cb10e1ba18ce44ef24e0ab043dc2986c37ff0f,7040000000.0,0,0,6750000000.0,13790000000.0,8200000000.0,8200000000.0,True
approve,0xcc9b2cce6354f7c5d859c8907e5e4b4b2ebc91a5,0x3c87864e367e307dbffdc359df69c59a6e440bd7,3280000000.0,0,0,9330000000.0,12610000000.0,13940000000.0,13940000000.0,True
transfer,0x3168f70be64172a789eb4a2dcdb7c796ef7e67fd,0x8679901af2e7a3ce93e2f5435ead06f75f9d1f5a,0,7810000000.0,0,9870000000.0,9870000000.0,10080000000.0,2270000000.0,True
transferFrom,0x64dbb180ce27cce28755425c8205626d89652bb3,0xcba0c46f36b53dbd92b10323e402b549d2ce75fa,0,0,9280000000.0,8250000000.0,8250000000.0,6150000000.0,6150000000.0,False
transfer,0xaf181902de8ba49e7d3f4fd22cd96ef89681a0ce,0x13a1b69428128065060ca8f2fced8a26f77c7b4b,0,5910000000.0,0,8650000000.0,8650000000.0,8040000000.0,2130000000.0,True
transferFrom,0x53129482cc64e5a829c9910234adfccce9732547,0x95c826508fe486de1b955a810532710f2ac8c621,0,0,1130000000.0,8160000000.0,7030000000.0,7800000000.0,6670000000.0,True
transfer,0x23bf2f7796f7826d63697e39a85391d398768509,0x3b038a0e5920cc0cb665fb35a6742f52fa888c5a,0,2940000000.0,0,2940000000.0,2940000000.0,7010000000.0,4070000000.0,True
transferFrom,0x897f6d89cbeb6ea986212ccaa70289993e6135cd,0x4b1da0d445b1bc0a2af53a071e3ebaaec8088a13,0,0,900000000.0,5030000000.0,4130000000.0,5560000000.0,4660000000.0,True
approve,0x9c85f4f237c2a6db724ba40a1412b5e7403deb26,0xade31a08cd58c56ea7ee632b3875ea61c0f80120,2390000000.0,0,0,5810000000.0,8200000000.0,13940000000.0,13940000000.0,True
transfer,0xff6256ba91da3c6f0c30d1f0c1c5ccdf2445e85a,0xe5fb4f44b49bb7f01951c6269f29e5f7b8528af2,0,1630000000.0,0,7340000000.0,7340000000.0,14950000000.0,13320000000.0,True
transferFrom,0x22cd6c16cf41fba606227fb389df4990fd85a7fe,0x5ed4e93c8bf283d2a3cfc545f03feb39b7eb6882,0,0,9830000000.0,5870000000.0,5870000000.0,13650000000.0,13650000000.0,False
transferFrom,0x35eaf1290593473f3284b94799ea3687e324d8bc,0xca9ade8ad061a80fdbce48e6feddb6997e3963ee,0,0,9530000000.0,7430000000.0,7430000000.0,13640000000.0,13640000000.0,False
transferFrom,0xf24a7d9279b9a05e42f75565b91847cbbeb79ce0,0x55e822e5587e0aed2946c21dd9404b8154281a47,0,0,2700000000.0,5900000000.0,3200000000.0,9780000000.0,7080000000.0,True
transferFrom,0xcf0c1a2cb2758b4df5c4a7ba21d8a2dd8d7245f3,0x00d139813564e3cbd7368216d6343f00b22f2971,0,0,5770000000.0,9120000000.0,3350000000.0,11050000000.0,5280000000.0,True
transfer,0x674796c8d3fa57c4c6e26d1fab88c510c84e01d7,0x36aca7057136dc110f0824576bd510fa1cc7c5a2,0,3620000000.0,0,5710000000.0,5710000000.0,6050000000.0,2430000000.0,True
transfer,0xc907d69802aa81197a92d543a9b028807973fd05,0xde42a20c96c3d7388672acfa1544ef6db67da809,0,6830000000.0,0,9890000000.0,9890000000.0,12170000000.0,5340000000.0,True
transfer,0x525b9b309444d2cef364f6206fda6900ee44d056,0x62c37b201e4e07a4fa6ae012e49e0ba2343721ce,0,6120000000.0,0,9520000000.0,9520000000.0,14750000000.0,8630000000.0,True
approve,0xf0536235c67ba19da5b1aaa956d22a4961b335cc,0x5c7210774c06a9a977ed5af68ad843422b0bccce,900000000.0,0,0,9530000000.0,10430000000.0,11890000000.0,11890000000.0,True
approve,0x876a2c6210b53a67e79073872cca77c817ca0e8b,0x1762d7c97323870d49e5386dcffa78df52e9351a,1490000000.0,0,0,5610000000.0,7100000000.0,14820000000.0,14820000000.0,True
transferFrom,0x1d2d14e686ade98232da421980d5c5aee975daad,0xd5771e363a243c7113678c893f9ecdebcf2f13e5,0,0,9970000000.0,6730000000.0,6730000000.0,14230000000.0,14230000000.0,False
transferFrom,0xda064eb17ac298d678674e8625df3851142b14de,0x3f002e60dc779dd087d7e58d161201116e0a9ab3,0,0,3110000000.0,5160000000.0,2050000000.0,12530000000.0,9420000000.0,True
approve,0x1f1db603c00ef87dd38da73be7b0cf3710d36b49,0x31e391ac018703bc98a3de8d5b80e21d9e8805e4,870000000.0,0,0,9290000000.0,10160000000.0,9450000000.0,9450000000.0,True
approve,0xf5479de4aad94da44142474c3a2ca61897db8b2e,0x0a4dc56aa38de8bedcbee5c9672440f89d47af22,590000000.0,0,0,9660000000.0,10250000000.0,10480000000.0,10480000000.0,True
transfer,0x001364138c64fc60cdf3a0a5eaea00e43f52d020,0x6240bd37ed5270fc18081aef951ac7d8514b3096,0,7190000000.0,0,9160000000.0,9160000000.0,5360000000.0,5360000000.0,True
approve,0xdd0319d4f0ae05d6e486959a696035cdf828b735,0x34f2d205b122dc299baf4f3adf52d6e5a0def9ef,8240000000.0,0,0,5120000000.0,13360000000.0,10660000000.0,10660000000.0,True
approve,0x85af2cda027f3304a84c3966ea7a1050750daf46,0xd81c8bf7c8c5177c9a240de813c019c2d91d4ac4,8230000000.0,0,0,8580000000.0,16810000000.0,12020000000.0,12020000000.0,True
approve,0xa363a854a76ebe2708565fd5304b70123e70769c,0x096709b3601fe65208483e6abf553533594e8409,2860000000.0,0,0,5530000000.0,8390000000.0,10310000000.0,10310000000.0,True
transfer,0xb670aa01539b07fe4445e0127ab18c9d309d052b,0xa867a095a3ba8c2dc121347eb868775615faa32d,0,6240000000.0,0,9070000000.0,9070000000.0,13420000000.0,7180000000.0,True
transfer,0x9cd679685ed4dfd30f20d47b0dea189b72ad9dc8,0x4660c1c736ced4a432c1d9c420a360fa97bf13b4,0,4450000000.0,0,8180000000.0,8180000000.0,8630000000.0,4180000000.0,True
transferFrom,0xbd4cf1bd8c437f9387f0a63111b85a3b6ff876bc,0x6d98dfa8ec77374b5c334fd6adecd05d2e1bdc5f,0,0,3140000000.0,3140000000.0,0.0,9880000000.0,6740000000.0,True
approve,0xda6a47a550f90c882ba0c348b2ba13cba7863001,0xbdece84468fe7db53ed6470cbf3e67bf61c083d1,4120000000.0,0,0,5040000000.0,9160000000.0,10260000000.0,10260000000.0,True
approve,0xdaff1665f05b3403a7e4710e5e0218330a9ff959,0x3c42e17bfeb7426461415d1476ba427429d2e2e4,3150000000.0,0,0,7430000000.0,10580000000.0,10860000000.0,10860000000.0,True
transferFrom,0x8cc346b55f555fdd5b73cbe5dcc6f369667f404b,0x5e39d5a00348a218378b81c19c28373844c84bcb,0,0,1650000000.0,8110000000.0,6460000000.0,13610000000.0,11960000000.0,True
transferFrom,0x7ef17e3d639418c0c5d5a92353777e20fac44cd7,0xcfbf74a95c657a3421fe34010c3fa6700d81eb55,0,0,640000000.0,6820000000.0,6180000000.0,14980000000.0,14340000000.0,True
approve,0x2f1273fcf04b0ccfafa976784238a1c9e54ec4cb,0x456aab67b19151e023702df0e08fcefcba42205f,550000000.0,0,0,7980000000.0,8530000000.0,14770000000.0,14770000000.0,True
approve,0x0ee1968f8b4c88d9467991f2e077e997ec99cc31,0x0a90bcfd90d1ba4fda96317b9808790dcfe2c199,1370000000.0,0,0,9040000000.0,10410000000.0,12800000000.0,12800000000.0,True
transfer,0xed9ca4263da55405423cf899d55191002b2295e3,0xd86bddbf078947efba65f575f69b4e8de97f4fd2,0,3720000000.0,0,8420000000.0,8420000000.0,12030000000.0,8310000000.0,True
transfer,0xd8ec9ba77410a8ad6276705de98844d73d3a019a,0x75cd677b99ffdc1c52669fcfc74fc4a380913c92,0,6850000000.0,0,8620000000.0,8620000000.0,14650000000.0,7800000000.0,True
approve,0x788b2e46b7530dc3d1f96ce0ffe1d403b4cca38d,0xacefcbdc93414431bac31b740ea0add31a40a2e5,8340000000.0,0,0,7730000000.0,16070000000.0,8060000000.0,8060000000.0,True
transfer,0xac05b964224d7bc8ae57a352e1a871297ca2b231,0x6b7b24eddd5ee8e4464711c6a4e2377383a297a9,0,5150000000.0,0,7650000000.0,7650000000.0,6380000000.0,1230000000.0,True
transferFrom,0x1b11427a79b062fab4f2bd769c7e785793e833b6,0xd318fd064c0a1c53f0eac5e2210fa590c06c9b09,0,0,1520000000.0,5850000000.0,4330000000.0,12450000000.0,10930000000.0,True
approve,0x66810e25d1dfda099a8cddd306e1f2eb949a9282,0x2410296ca573ee21e703b95fc0f033a549e52fae,6150000000.0,0,0,8220000000.0,14370000000.0,6100000000.0,6100000000.0,True
transfer,0x9e283806124dc8010c21432bcb743f10ddfba4a8,0x9e4b114881d1aa584dabfbf228f70fae26003b87,0,8190000000.0,0,10000000000.0,10000000000.0,12100000000.0,3910000000.0,True
transfer,0x41765e7961a88e61a9c005cb1c8c1a325a51592c,0x85957a3e96d0e615059a5b91f12cb32003be158d,0,2180000000.0,0,9710000000.0,9710000000.0,10070000000.0,7890000000.0,True
approve,0xca0d22da027fcb93d03990efd67a7750d580071a,0xcaf79d52c6778c570692984dffcdcdaa1daa1e87,4470000000.0,0,0,6360000000.0,10830000000.0,8050000000.0,8050000000.0,True
transferFrom,0x0883fa395727e08c0f2f68097dfcd11747702961,0x9b575a6562c815292b2d3d1de5d195743f6c2966,0,0,340000000.0,6550000000.0,6210000000.0,14030000000.0,13690000000.0,True
transferFrom,0x3fa5841fe76229861838a917b2ea6eeab3f59a1b,0x33ae6e070618860ffea9b11fe342b5856af559ba,0,0,270000000.0,7820000000.0,7550000000.0,12090000000.0,11820000000.0,True
